image_name,mean_chroma,deltaE,black_level_r,black_level_g1,black_level_g2,black_level_b,white_level,wb_r,wb_g1,wb_g2,wb_b,saturation_level
a0032-jmac_MG_0266.dng,4.664612954042798,1.2266369717115087,128,128,128,128,3650,2.2402336597442627,1.0,1.3300772905349731,0.0,1
a0054-kme_097.dng,7.1436862541762185,1.0265980610461238,1023,1023,1024,1023,13600,2.0771493911743164,1.0,1.4687501192092896,0.0,2
sample1.dng,4.691774012630958,0.6414023797126215,256,257,256,257,4095,2.2502453327178955,1.0,1.493620753288269,0.0,1
a0013-MB_20030906_001.dng,17.292622043878694,1.6675818915811167,128,127,127,128,4000,2.4159023761749268,1.0,1.258715033531189,0.0,5
a0002-dgw_005.dng,9.942818766032012,1.0286529077634967,0,0,0,0,15892,1.332031488418579,1.0,1.6328130960464478,0.0,3
a0038-MB_070908_135.dng,6.3258016965650175,1.2675893234531068,127,127,127,128,3692,2.0117201805114746,1.0,1.48828125,0.0,2
a0003-NKIM_MG_8178.dng,5.9720197385039775,0.8075028117495807,1023,1023,1023,1023,13600,2.723630428314209,1.0,1.221679925918579,0.0,1
a0042-060813_155838__MG_6361.dng,7.609004113027717,1.4585403954623086,128,128,127,128,3692,1.98046875,1.0,1.5332038402557373,0.0,2
a0053-kme_103.dng,15.978842216319453,1.7233066134679171,1023,1023,1023,1024,13600,2.359375238418579,1.0,1.3603516817092896,0.0,4
a0036-jn_2007_05_05__183.dng,6.846600927807209,1.6092518274628145,127,128,127,127,3300,2.0400378704071045,1.0,1.3251948356628418,0.0,2
a0031-WP_CRW_0736.dng,16.872216321205737,1.4353568411345188,129,130,130,129,4000,2.1707749366760254,1.0,1.282020092010498,0.0,5
a0021-07-11-28-at-09h22m57s-_MG_7427.dng,7.129035786342038,1.2497553516786561,128,128,127,128,3692,2.156250476837158,1.0,1.328125238418579,0.0,2
a0005-jn_2007_05_10__564.dng,2.21205292120067,0.3054204260650447,127,128,127,127,3398,2.051757574081421,1.0,1.3710931539535522,0.0,1
a0046-dgw_101.dng,9.864296575686867,1.1767170046745699,0,0,0,0,15892,1.851563811302185,1.0,1.3593753576278687,0.0,3
a0015-DSC_0081.dng,10.300662452206737,1.8266869843185778,0,0,0,0,4095,2.0915513038635254,1.0,1.5774637460708618,0.0,3
a0047-07-11-18-at-00h05m40s-_MG_4882.dng,18.143168159529512,1.6412460497364083,128,127,127,128,3692,1.5844395160675049,1.0,1.8417325019836426,0.0,5
a0010-jmac_MG_4807.dng,6.259955043492191,1.4585789824406714,128,128,127,128,4095,2.043351650238037,1.0,1.482757806777954,0.0,2
a0014-WP_CRW_6320.dng,3.39803707642602,1.2234302697268078,127,126,126,127,4000,2.4245364665985107,1.0,1.1268786191940308,0.0,1
a0040-_DSC5693.dng,18.57057150606911,1.383323611260469,0,0,0,0,15892,1.7851563692092896,1.0,1.3749995231628418,0.0,5
a0024-_DSC8932.dng,10.878633647387897,1.3911404427417602,0,0,0,0,15892,1.8164050579071045,1.0,1.355468988418579,0.0,3
a0035-dgw_048.dng,17.056411742283554,1.1726562726614131,0,0,0,0,15892,1.4765617847442627,1.0,1.6328130960464478,0.0,5
a0008-WP_CRW_3959.dng,11.28155250719387,1.2246939787451276,127,128,128,127,4000,1.714971661567688,1.0,1.4263381958007812,0.0,3
a0029-jmac_DSC3974.dng,16.23310805051234,1.5645675740157534,0,0,0,0,4095,2.0894930362701416,1.0,1.5758752822875977,0.0,4
a0037-jmacAlgarve_Sagres_07.dng,5.551296321937973,1.0428465613894657,127,127,127,127,4095,1.2541953325271606,1.0,1.318758487701416,0.0,1
a0020-jmac_MG_6225.dng,11.966083720273614,1.3986523646435702,128,128,128,128,3692,2.1884758472442627,1.0,1.475585699081421,0.0,4
a0001-jmac_DSC1459.dng,19.71551179607915,2.0379072363367383,0,0,0,0,4095,2.1289050579071045,1.0,1.5468741655349731,0.0,5
a0045-20050320_081337__E6B1177.dng,8.452936689020952,0.9567594509846293,128,127,128,128,3711,1.8710929155349731,1.0,1.2988277673721313,0.0,2
a0052-dgw_131.dng,4.774168713221315,1.2168544312655794,0,0,0,0,15892,1.7226558923721313,1.0,1.5234380960464478,0.0,1
a0033-KE_-2590.dng,15.401349231731581,1.1910401504417492,0,0,0,0,4095,1.7968741655349731,1.0,1.8710929155349731,0.0,4
a0023-07-06-02-at-15h06m48-s_MG_1489.dng,6.663288123828453,0.8354270938465481,127,128,127,128,3692,1.7041029930114746,1.0,1.8583976030349731,0.0,2
a0050-_DSC0006.dng,8.286113810695714,1.4171866809193872,0,0,0,0,4095,2.636720657348633,1.0,1.2695317268371582,0.0,2
a0022-IMG_2380.dng,11.141869283262505,1.2348414102806031,1024,1024,1024,1024,16000,2.081052780151367,1.0,1.7744150161743164,0.0,3
